,class,generated_data
156,1 ,how will i get to boltzmannstrae from quiddestrae
92,1 ,Is there a minibus from odeonsplatz to hauptbahnhof near ##a.m.
279,0 ,when Is another commuter_train Leaving during garching
39,1 ,should yourself find a relation from olympiazentrum to lehel near ##a.m.
429,1 ,link in hauptbahnhof to odeonsplatz
423,0 ,when is the next freight_train in nordfriedhof
412,1 ,from garching to perlach
221,0 ,show him another last minibus from garching
7,1 ,thats this longest thing between hauptbahnhof and odeonsplatz
428,1 ,connection from hauptbahnhof to odeonsplatz?
440,1 ,how must i get from garching to marienplatz
321,0 ,when takes another last commuter_train
284,1 ,how must i get from garching to odeonsplatz
162,0 ,when the next train in garching forschungszentrum is leaving?
442,1 ,how may i get from garching to marienplatz
243,0 ,yeah bot when does another last minibus starts near garching
78,1 ,must we find a bus from quiddestrae to lehel
151,1 ,how may i get from garching forschungszentrum to kurteisnerstrae
167,0 ,When seems this Next u returning in garching
380,1 ,when is the next train to garching
9,1 ,how can i get from garching to münchner freiheit as fast as possible?
98,1 ,will you tell me the cheapest way from garching forschungszentrum to quiddestrae
381,1 ,When seems this Next Train to garching
405,1 ,When seems this Next Train in untere straaecker to kieferngarten
175,0 ,when Is another last u_dont
97,1 ,must we tell myself the cheapest way from garching forschungszentrum to quiddestrae
437,1 ,how can i get from garching to marienplatz
194,0 ,when does the next train leaves from quiddestraße?
200,0 ,when Is another last commuter_train
433,1 ,why do i get from olympia einkaufszentrum to hauptbahnhof
47,1 ,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?"
210,0 ,when does the next bus leave in garching?
141,1 ,How could i get in garching forschungszentrum to odeonsplatz
179,0 ,when is the next subway leaving from garching?
277,0 ,when is the train leaving in garching?
389,1 ,how may i get from garching to milbertshofen
263,0 ,when does the next bus leaves in romanplatz
125,1 ,what is the next connection from garching forschungszentrum to odeonsplatz?
424,0 ,when is the next train in münchner freiheit?
441,1 ,how will i get from garching to marienplatz
55,1 ,i need to be during garching near
357,1 ,why should i get from garching to sendlinger ter
353,1 ,how will i get from garching to garching
68,1 ,may you find the shortest way from moosfeld to milbertshofen
139,1 ,how may i get from garching forschungszentrum to odeonsplatz
344,1 ,how will i get to sendlinger tor
332,1 ,When seems this Next Train in nordfriedhof to garching forschungszentrum
161,0 ,when does the next freight_train departs from quiddestrae
79,1 ,will you find a bus from quiddestrae to lehel
53,1 ,i need to be in garching at 9
265,0 ,When Does this Bus to rblingweg begins
348,1 ,why do i get to untere strausscker
237,0 ,when does the next train starts at sendlinger tor?
113,1 ,how will i get from garching to hauptbahnhof
347,1 ,How do i get to untere strausscker
254,0 ,when can i get a bus at mariahilfplatz?
134,1 ,how can i get from garching forschungszentrum to odeonsplatz?
409,1 ,When seems this Next Train in untere straaecker garching to kieferngarten
154,1 ,why should i get to boltzmannstrae from quiddestrae
396,1 ,link in untere stracker to kieferngarten
281,1 ,how can i get from garching to odeonsplatz?
394,0 ,when does the next Kassam_rocket leaves from garching forschungszentrum
336,1 ,im want to travel in garching to odeonsplatz
121,0 ,"when the next train in garching,forschungszentrum is leaving?"
1,1 ,thats this longest link between quiddestrae and odeonsplatz
286,1 ,how may i get from garching to odeonsplatz
366,1 ,how may i get from garchingto garching
300,1 ,how must i get from quiddestrae to boltzmannstrae
339,1 ,i_dont want to travel from garching to odeonsplatz
122,0 ,When this Next Train In garchingforschungszentrum seems returning
364,1 ,how must i get from garchingto garching
215,0 ,when does another last sbahn leaves from hauptbahnhof
310,1 ,could You Give us a link in garching to odeonsplatz
382,1 ,when Is another last commuter_train to garching
110,1 ,How could i get in garching to hauptbahnhof
128,1 ,how can i get from mossach to garching forschungszentrum?
256,0 ,when should i get a minibus near mariahilfplatz
59,1 ,should i take a minibus from quiddestrae to hauptbahnhof
358,1 ,how must i get from garching to sendlinger tion
64,1 ,could You find this longest thing in moosfeld to milbertshofen
320,0 ,When goes this Next Train
207,0 ,When Does this Next Train arrives
341,1 ,How could i get to sendlinger ¬
196,0 ,when does another last commuter_train Leaves from quiddestrae
316,0 ,When seems this Next Train in garching
41,1 ,will you find a connection from olympiazentrum to lehel at pm
216,0 ,when does the next subway departes from odeonsplatz?
250,0 ,when does the next bus leaves in garching
233,0 ,show me the next bus from michaelibad.
181,0 ,when Is another last commuter_train Leaving from garching
153,1 ,How could i get to boltzmannstrae in quiddestrae
411,1 ,when is the next freight_train from untere straaecker garching to kieferngarten
192,0 ,when does another last commuter_train Leaves from odeonsplatz
157,1 ,how may i get to boltzmannstrae from quiddestrae
105,1 ,how may i get to quiddestrae
15,1 ,what's the cheapest way from neuperlach süd to lehel?
71,1 ,why should i get to neuperlach =_argv from garching forschungszentrum
119,1 ,how will i get from kurteisnerstrae to garching
436,0 ,when Is another last minibus during garching forschungszentrum
22,1 ,How could i get in neuperlach zentrum to karlsplatz As rapidly As humanly_possible
323,0 ,when is the next train in nordfriedhof
198,0 ,when is the next train
138,1 ,how will i get from garching forschungszentrum to odeonsplatz
270,0 ,when is the next bus leaving from garching?
361,1 ,how can i get from garchingto garching?
275,0 ,when Is another commuter_train Leaving during garching
325,0 ,when Is another last commuter_train during nordfriedhof
195,0 ,When Does this Next Train arrives in quiddestrae
67,1 ,will you find the shortest way from moosfeld to milbertshofen
289,0 ,when Is adrians last subway Leaving near garching forschungszentrum
293,1 ,why should i get from olympiazentrum to hauptbahnhof
61,1 ,will i take a bus from quiddestrae to hauptbahnhof
11,1 ,why should i get from garching to mnchner freiheit as quickly as practicable
431,1 ,how do i get from olympia einkaufszentrum to hauptbahnhof?
387,1 ,how must i get from garching to milbertshofen
370,0 ,when is the next freight_train from garching
45,1 ,i need a relation from harras to karlpreisplatz near am
65,1 ,should yourself find another lengthiest path from moosfeld to milbertshofen
309,1 ,can you give me a connection from garching to odeonsplatz?
6,1 ,what's the shortest way between hauptbahnhof and odeonsplatz?
87,1 ,seems there a Bus in garching to moosach At across
106,0 ,when does the next bus leaves from hauptbahnhof?
34,1 ,seems there a Train in neuperlach zentrum to garching At noon
225,0 ,when does another last tramway starts from hauptbahnhof
94,1 ,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
160,0 ,when does another last commuter_train disembarks from quiddestrae
202,0 ,when does the next bus leaves at garching forschungszentrum?
33,1 ,is there a train from neuperlach zentrum to garching at 3 pm?
379,1 ,how may i get to milbertshofen from garching
8,1 ,whats another lengthiest path between hauptbahnhof and odeonsplatz
383,1 ,when is the next freight_train to garching
95,1 ,could You know us this cheapest thing in garching forschungszentrum to quiddestrae
77,1 ,should yourself find a minibus from quiddestrae to lehel
351,1 ,why should i get from garching to garching
427,0 ,when is the next freight_train in mnchner freiheit
37,1 ,can you find a connection from olympiazentrum to lehel at 2 pm?
236,0 ,show myself the next bus from michaelibad
324,0 ,When seems this Next Train In nordfriedhof
213,0 ,when does the next s-bahn leaves from hauptbahnhof?
10,1 ,How could i get in garching to mnchner freiheit As rapidly As humanly_possible
327,0 ,when does the next train come at garching forschungszentrum
177,0 ,when is the next lol
127,1 ,what Is another last relation from garching forschungszentrum to odeonsplatz
430,1 ,relation from hauptbahnhof to odeonsplatz
319,0 ,when comes the next train
89,1 ,is there a bus from garching to moosach in around
304,1 ,How could i get in moosach to garching forschungszentrum
36,1 ,is there a freight_train from neuperlach zentrum to garching in #:##_p.m.
189,0 ,when is the next freight_train leaving in garching
360,1 ,how may i get from garching to sendlinger tor
159,0 ,When Does this Next Train arrives in quiddestrae
193,0 ,when does the next freight_train leaves from odeonsplatz
422,0 ,when Is another last commuter_train during nordfriedhof
165,0 ,when the next freight_train in garching forschungszentrum is leaving
114,1 ,how may i get from garching to hauptbahnhof
296,1 ,how may i get from olympiazentrum to hauptbahnhof
229,0 ,When can this Next ubahn disembark in garching forschungszentrum
44,1 ,i need a link in harras to karlpreisplatz At 'm
308,1 ,how may i get from moosach to garching forschungszentrum
46,1 ,i need a connection from harras to karlpreisplatz in am
129,1 ,How could i get in mossach to garching forschungszentrum
295,1 ,how will i get from olympiazentrum to hauptbahnhof
143,1 ,how must i get from garching forschungszentrum to odeonsplatz
305,1 ,why should i get from moosach to garching forschungszentrum
435,0 ,When seems this Next Bus In garching forschungszentrum
223,0 ,when does the next tram starts from hauptbahnhof?
133,1 ,how may i get from mossach to garching forschungszentrum
108,0 ,when does another last minibus leaves from hauptbahnhof
75,1 ,can you find a bus from quiddestraße to lehel?
174,0 ,When seems this Next ur
239,0 ,when does another last commuter_train finishes near sendlinger ter
443,1 ,from garching to studentenstadt
404,1 ,when is the next train from untere straßaecker 21 to kieferngarten
343,1 ,how must i get to sendlinger tion
367,0 ,when is the next train from garching
148,1 ,why should i get from garching forschungszentrum to kurteisnerstrae
312,1 ,must we give myself a connection from garching to odeonsplatz
350,1 ,How could i get in garching to garching
406,1 ,when Is another last commuter_train from untere straaecker to kieferngarten
393,0 ,when does the next Katyusha_rocket leaves from garching forschungszentrum
258,0 ,when will i get a bus at mariahilfplatz
74,1 ,how may i get to neuperlach dpa_kr from garching forschungszentrum
248,0 ,When Does this Next Bus leaves At garching
288,0 ,When seems adrians Next subway returning At garching forschungszentrum
120,1 ,how may i get from kurteisnerstrae to garching
135,1 ,How could i get in garching forschungszentrum to odeonsplatz
66,1 ,must we find the shortest way from moosfeld to milbertshofen
262,0 ,when does another last minibus leaves near romanplatz
232,0 ,when 'll the next ubahn depart from garching forschungszentrum
397,1 ,relation from untere stracker to kieferngarten
230,0 ,when would another last ubahn depart from garching forschungszentrum
212,0 ,when does another last minibus leave during garching
374,1 ,how can i get to milbertshofen from garching?
126,1 ,What seems this Next link in garching forschungszentrum to odeonsplatz
352,1 ,how must i get from garching to garching
102,1 ,why should i get to quiddestrae
111,1 ,why should i get from garching to hauptbahnhof
395,1 ,connection from untere straßäcker 21 to kieferngarten
173,0 ,when is the next u6?
421,0 ,When seems this Next Train In nordfriedhof
267,0 ,next bus from quiddestraße?
99,1 ,may you tell me the cheapest way from garching forschungszentrum to quiddestrae
83,1 ,Is there a tramway from karlsplatz to lehel
329,0 ,when does another last commuter_train come near garching forschungszentrum
359,1 ,how will i get from garching to sendlinger tor
31,1 ,can you give me the fastest connection between brudermhlstrae and schön heide
392,0 ,when does another last Qassam_rocket leaves from garching forschungszentrum
214,0 ,When Does this Next sbahn leaves in hauptbahnhof
356,1 ,How could i get in garching to sendlinger ¬
103,1 ,how must i get to quiddestrae
432,1 ,How do i get in olympia einkaufszentrum to hauptbahnhof
26,1 ,how may i get from neuperlach zentrum to karlsplatz as fast as possible
203,0 ,When Does this Next Bus leaves At garching forschungszentrum
56,1 ,i need to be in garching in
313,1 ,will you give me a connection from garching to odeonsplatz
261,0 ,When Does this Next Bus leaves At romanplatz
62,1 ,may i take a bus from quiddestrae to hauptbahnhof
240,0 ,when does the next freight_train starts in sendlinger tion
299,1 ,why should i get from quiddestrae to boltzmannstrae
280,0 ,when is the freight_train leaving in garching
290,0 ,when is adrians next subway leaving in garching forschungszentrum
24,1 ,how must i get from neuperlach zentrum to karlsplatz as fast as potential
418,1 ,How to get in bonnerplatz to freimann
152,1 ,how can i get to boltzmannstraße from quiddestraße?
42,1 ,may you find a connection from olympiazentrum to lehel at pm
164,0 ,when another last commuter_train during garching forschungszentrum Is Leaving
101,1 ,How could i get to quiddestrae
104,1 ,how will i get to quiddestrae
349,1 ,how can i get from garching to garching?
3,1 ,what is the cheapest connection between quiddestraße and hauptbahnhof?
328,0 ,When Does this Next Train bring At garching forschungszentrum
444,1 ,in garching to studentenstadt
115,1 ,how can i get from kurt-eisner-straße to garching?
116,1 ,How could i get in kurteisnerstrae to garching
140,1 ,"how can i get from garching, forschungszentrum to odeonsplatz?"
206,0 ,when does the next train leaves?
434,0 ,when is the next bus in garching forschungszentrum
29,1 ,might yourself give him another Fastest relation between brudermhlstrae and kein heide
244,0 ,Hey bot when does the next bus starts in garching
245,0 ,oh_yeah bot when does the next bus starts at garching
399,1 ,How to get in untere strasscker to frtmaning
291,1 ,how can i get from olympiazentrum to hauptbahnhof?
335,1 ,i want to travel from garching to odeonsplatz?
172,0 ,when does the next freight_train leave from garching forschungszentrum
124,0 ,when the next freight_train in garchingforschungszentrum is leaving
187,0 ,When seems this Next Train returning In garching
183,0 ,When this Next Train In garching seems returning
2,1 ,whats another lengthiest relation between quiddestrae and odeonsplatz
251,0 ,when is the bus from quiddestraße?
23,1 ,why should i get from neuperlach zentrum to karlsplatz as quickly as practicable
414,1 ,how to get from garching to perlach?
20,1 ,whats the cheapest way from neuperlach dpa_kr to lehel
354,1 ,how may i get from garching to garching
363,1 ,why should i get from garchingto garching
84,1 ,is there a Tram from karlsplatz to lehel
191,0 ,When Does this Next Train arrives in odeonsplatz
376,1 ,why should i get to milbertshofen from garching
253,0 ,when Is another minibus from quiddestrae
274,0 ,When seems this Train returning In garching
117,1 ,why should i get from kurteisnerstrae to garching
201,0 ,when is the next freight_train
12,1 ,how must i get from garching to mnchner freiheit as fast as potential
285,1 ,how will i get from garching to odeonsplatz
185,0 ,when the next freight_train in garching is leaving
188,0 ,when Is another last commuter_train Leaving during garching
273,0 ,when is the train leaving in garching
278,0 ,When seems this Train returning In garching
369,0 ,when Is another last commuter_train from garching
242,0 ,c'mon bot When Does this Next Bus starts At garching
190,0 ,when does the next train leaves from odeonsplatz?
326,0 ,when is the next freight_train in nordfriedhof
438,1 ,How could i get in garching to marienplatz
107,0 ,When Does this Next Bus leaves in hauptbahnhof
217,0 ,When Does this Next subway_station departes in odeonsplatz
287,0 ,when is adrians next subway leaving at garching forschungszentrum?
4,1 ,What seems this cheapest link between quiddestrae and hauptbahnhof
231,0 ,when should the next ubahn depart from garching forschungszentrum
402,1 ,How to get in untere strassaecker to frtmaning
93,1 ,is there a bus from odeonsplatz to hauptbahnhof in #:##_p.m.
170,0 ,When Does this Next Train leave in garching forschungszentrum
365,1 ,how will i get from garchingto garching
17,1 ,whats another cheapest path from neuperlach =_argv to lehel
150,1 ,how will i get from garching forschungszentrum to kurteisnerstrae
90,1 ,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
282,1 ,How could i get in garching to odeonsplatz
249,0 ,when does another last minibus leaves near garching
57,1 ,can i take a bus from quiddestraße to hauptbahnhof?
283,1 ,why should i get from garching to odeonsplatz
131,1 ,how must i get from mossach to garching forschungszentrum
259,0 ,when may i get a bus at mariahilfplatz
25,1 ,how will i get from neuperlach zentrum to karlsplatz as fast as feasible
209,0 ,when does the next freight_train leaves
199,0 ,When seems this Next Train
306,1 ,how must i get from moosach to garching forschungszentrum
235,0 ,show him another last minibus from michaelibad
224,0 ,When Does this Next trolley starts in hauptbahnhof
137,1 ,how must i get from garching forschungszentrum to odeonsplatz
80,1 ,may you find a bus from quiddestrae to lehel
219,0 ,show me the next bus from garching!
413,1 ,in garching to perlach
109,1 ,how can i get from garching to hauptbahnhof?
50,1 ,in need to be in hauptbahnhof in #:##_p.m. must we search a connection from garching forschungszentrum
28,1 ,would You Give us this quickest link between brudermhlstrae and meine heide
373,1 ,why do i get from marienplatz zu garching
222,0 ,show myself the next bus from garching
269,0 ,last minibus from quiddestrae
70,1 ,How could i get to neuperlach js in garching forschungszentrum
227,0 ,when does the next streetcar starts from hauptbahnhof
302,1 ,how may i get from quiddestrae to boltzmannstrae
204,0 ,when does another last minibus leaves near garching forschungszentrum
218,0 ,when does another last commuter_train departes from odeonsplatz
338,1 ,i_couldnt want to travel from garching to odeonsplatz
255,0 ,When could i get a Bus At mariahilfplatz
43,1 ,i need a connection from harras to karl-preis-platz at 8 am.
149,1 ,how must i get from garching forschungszentrum to kurteisnerstrae
60,1 ,must i take a bus from quiddestrae to hauptbahnhof
30,1 ,may we give myself the fastest connection between brudermhlstrae and Ihr heide
322,0 ,when gets the next freight_train
419,1 ,why to get from bonnerplatz to freimann
378,1 ,how will i get to milbertshofen from garching
315,0 ,when is the next train from garching
294,1 ,how must i get from olympiazentrum to hauptbahnhof
169,0 ,when does the next train leave from garching forschungszentrum
228,0 ,when will the next u-bahn depart from garching forschungszentrum?
88,1 ,Is there a minibus from garching to moosach near Around
27,1 ,could you give me the fastest connection between brudermühlstraße and alte heide?
439,1 ,why should i get from garching to marienplatz
208,0 ,when does another last commuter_train Leaves
118,1 ,how must i get from kurteisnerstrae to garching
147,1 ,How could i get in garching forschungszentrum to kurteisnerstrae
19,1 ,whats the cheapest way from neuperlach dpa_ry to lehel
247,0 ,when does the next bus leaves at garching?
301,1 ,how will i get from quiddestrae to boltzmannstrae
311,1 ,should yourself give him a relation from garching to odeonsplatz
318,0 ,when is the next freight_train from garching
145,1 ,how may i get from garching forschungszentrum to odeonsplatz
176,0 ,when is the next b4_u
403,1 ,why to get from untere strassaecker to frtmaning
48,1 ,In want to have At hauptbahnhof At noon could You search a link in garching forschungszentrum
303,1 ,how can i get from moosach to garching forschungszentrum?
40,1 ,must we find a connection from olympiazentrum to lehel in #:##_p.m.
276,0 ,when is the freight_train leaving in garching
372,1 ,How do i get in marienplatz zu garching
178,0 ,when is the next some1
362,1 ,How could i get in garchingto garching
58,1 ,could i take a Bus in quiddestrae to hauptbahnhof
32,1 ,should you give me the fastest connection between brudermhlstrae and Ich_habe heide
35,1 ,Is there a commuter_train from neuperlach zentrum to garching near ##a.m.
340,1 ,how can i get to sendlinger tor?
298,1 ,How could i get in quiddestrae to boltzmannstrae
252,0 ,When seems this Bus in quiddestrae
386,1 ,why should i get from garching to milbertshofen
82,1 ,seems there a trolley in karlsplatz to lehel
410,1 ,when Is another last commuter_train from untere straaecker garching to kieferngarten
18,1 ,whats the cheapest way from neuperlach sizeof to lehel
186,0 ,when is the next train leaving in garching
72,1 ,how must i get to neuperlach sizeof from garching forschungszentrum
81,1 ,is there a tram from karlsplatz to lehel?
144,1 ,how will i get from garching forschungszentrum to odeonsplatz
342,1 ,why should i get to sendlinger ter
96,1 ,should yourself tell him another cheapest path from garching forschungszentrum to quiddestrae
371,1 ,how do i get from marienplatz zu garching
54,1 ,i need to have In garching At
85,1 ,is there a streetcar from karlsplatz to lehel
158,0 ,when does the next train departs from quiddestraße?
415,1 ,How to get in garching to perlach
241,0 ,"hey bot, when does the next bus starts at garching?"
272,0 ,when Is another last minibus Leaving from garching
100,1 ,how can i get to quiddestraße?
260,0 ,when does the next bus leaves at romanplatz?
266,0 ,when does another minibus to rblingweg finishes
333,1 ,when Is another last commuter_train from nordfriedhof to garching forschungszentrum
307,1 ,how will i get from moosach to garching forschungszentrum
132,1 ,how will i get from mossach to garching forschungszentrum
425,0 ,When seems this Next Train In mnchner freiheit
142,1 ,why should i get from garching forschungszentrum to odeonsplatz
398,1 ,how to get from untere strassäcker 21 to frötmaning
264,0 ,when does the bus to röblingweg starts?
5,1 ,what Is another cheapest relation between quiddestrae and hauptbahnhof
331,1 ,when is the next train from nordfriedhof to garching forschungszentrum
271,0 ,When seems this Next Bus returning in garching
337,1 ,i_cant want to travel from garching to odeonsplatz
420,0 ,when is the next train in nordfriedhof?
155,1 ,how must i get to boltzmannstrae from quiddestrae
184,0 ,when another last commuter_train during garching Is Leaving
426,0 ,when Is another last commuter_train during mnchner freiheit
314,1 ,may you give me a connection from garching to odeonsplatz
226,0 ,when does the next Tram starts from hauptbahnhof
407,1 ,when is the next freight_train from untere straaecker to kieferngarten
13,1 ,how will i get from garching to mnchner freiheit as fast as feasible
377,1 ,how must i get to milbertshofen from garching
